12,1/17/2018,3,3,Mercredi,EIsarl,ML.1801,8,"Correction sur l'ecran qui permet la validation de la déclaration des cotisations en ajoutant les journées de 
2018 qui n'etait pas prise en compte comme jour ouvrable.
Creation des agents de la commune 3 et octroi de leurs privilèges respectifs.
complèté le nombre de personne qui lève la suspension des pensionnaires.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,AASUP001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
13,1/18/2018,3,4,Jeudi,EIsarl,ML.1801,8,"traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,AAVAC001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
14,1/19/2018,3,5,Vendredi,EIsarl,ML.1801,8,"traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,ADMIN001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
15,1/22/2018,4,1,Lundi,EIsarl,ML.1801,9,"Analyse et recherche de solution pour generer des bordereaux de paiement de EDM en format EXCEL
afin qu'il paie directement les assurés chez eux.
Annulation des agents pouvant lever la suspension des pensionnaires et permettre au directeur Pension 
de pouvoir le faire.
Elaboratin d'un script pour donner les retraités par commune,groupe,et mode de paiement pour BAMAKO et REGIONS","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,ADMIN002,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
16,1/23/2018,4,2,Mardi,EIsarl,ML.1801,8,"Elaboratin d'un script pour donner les retraités par commune,groupe,et mode de paiement pour BAMAKO et REGIONS et assitance auprès des utilisateurs Pension pour analyser un problème.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,AJUST0001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
17,1/24/2018,4,3,Mercredi,EIsarl,ML.1801,9,"Réorganisation de l'ecran pour la saisie des pièces périodiques permettant aux agents de travaillé sans 
pouvoir modifier les pensionnaires suspendus et permettre au directeur pension seul de pouvoir le faire.
Réorganisé et analysé le script permettant de donner la liste des retraités par groupe,mode de paiement
pour les regions .","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,BF.0000,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
18,1/25/2018,4,4,Jeudi,EIsarl,ML.1801,8,"Correction et adaptation de l'etat des depenses par virement dans une fouchette de date.
Rédeploiement des ecrans de l'application Finance testé vers la production pour permettre 
aux agents tresorerie de la region de pour pouvoir l'utiliser.
Recherche de solution pour generer les bordereaux des AF de EDM en EXCEL.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,BF.0001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
19,1/26/2018,4,5,Vendredi,EIsarl,ML.1801,8,"Former le DSI sur la procédure à suivre pour la configuration du coté client 12c des applications.
Finalisation des données statistiques pour la pension de l'année 2017 pour la localité de Bamako et Regons.
Creation des utilisateurs de la comptabilité dans la localité de KAYES pour testé les nouveaux ecrans 
déployer sur la production. Traitement des demandes urgentes","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,BF.0002,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
20,1/29/2018,5,1,Lundi,EIsarl,ML.1801,8,"Elaboration d'un script qui donne des données statistique des pensionnaires par type de pension pour l'année 
2017 pour Bamako et regions.
Recherche de solution pour generer les etats en format excel.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,BF.0003,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
21,1/30/2018,5,2,Mardi,EIsarl,ML.1801,8,"Analyse et creation de deux utilisateurs pour la localité de KAYES pour testé l'application Finance 
avec le personnel de KAYES.
Creation des controleurs et gestionnaires de la DRCCE sur l'application cotisations et octroi de leurs privilèges
respectifs.
Correction sur l'etat des pensions retraités dans Depense FINA.
Recherche des outils permettant la generation en format excel avec Oracle forms.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,BF.0004,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
22,1/31/2018,5,3,Mercredi,EIsarl,ML.1801,8,"Suppression d'un mandat qui etait liés à deux periode de paiement par erreur.
 Traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,BF.0005,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
23,1/31/2018,5,3,Mercredi,EIsarl,ML.1801,8,"Traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,1,,,,,,,,,,,BF.0006,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
24,2/1/2018,5,4,Jeudi,EIsarl,ML.1801,8,"Traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0007,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
25,2/2/2018,5,5,Vendredi,EIsarl,ML.1801,8,"Correction sur l'etat qui donne l'information sur la liquidation d'une pension.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0008,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
26,2/5/2018,6,1,Lundi,EIsarl,ML.1801,8,"Traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0009,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
27,2/6/2018,6,2,Mardi,EIsarl,ML.1801,8,"Traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0010,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
28,2/7/2018,6,3,Mercredi,EIsarl,ML.1801,8,"Traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0011,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
29,2/8/2018,6,4,Jeudi,EIsarl,ML.1801,8,"Traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0013,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
30,2/9/2018,6,5,Vendredi,EIsarl,ML.1801,8,"Traitement des demandes urgentes.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0014,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
31,2/12/2018,7,1,Lundi,EIsarl,ML.1801,8,"Traitement des demandes urgentes du département Prestation,
Correction des etats sur l'application FINANCE.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0015,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
32,2/13/2018,7,2,Mardi,EIsarl,ML.1801,8,"Traitement des demandes urgentes et Correction en ajoutant un script uniquement pour les journées 
du 20/dd/rrrr dans l'application ICGL.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0016,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
33,2/14/2018,7,3,Mercredi,EIsarl,ML.1801,8,"Traitement d'un bordereau de l'accident de travail sur l'application Finance,
Réorganisations des privilèges dans le service prestation suite aux nominations 
des employés.
Traitement demande Urgente de service prestation.","INPS 2018 -  Support Oracle, Maintenance corrective Applications métiers et des serveurs",Actif,2,Technique,0,,2,,,,,,,,,,,BF.0017,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
